symbol,updateTime,currentFvg_type,currentFvg_high,currentFvg_low,currentFvg_mid,currentFvg_openType,currentFvg_closeType,currentFvg_timestamp,currentFvg_time,upFvg_type,upFvg_high,upFvg_low,upFvg_mid,upFvg_openType,upFvg_closeType,upFvg_timestamp,upFvg_time,downFvg_type,downFvg_high,downFvg_low,downFvg_mid,downFvg_openType,downFvg_closeType,downFvg_timestamp,downFvg_time,currentPrice
PAXGUSDT,18/06/2025 08:06:21,up,3459.63,3408.14,3433.885,up,up,1749772800000,13.06.2025 00:00,up,3408.15,3378.79,3393.4700000000003,up,up,1749686400000,12.06.2025 00:00,down,3474.42,3431.62,3453.02,down,down,1750032000000,16.06.2025 00:00,3409.69
GRIFFAINUSDT,18/06/2025 08:06:21,down,0.04336,0.04217,0.042765,down,up,1749859200000,14.06.2025 00:00,up,0.04235,0.04217,0.04226,up,down,1750032000000,16.06.2025 00:00,down,0.04483,0.04337,0.0441,down,down,1749772800000,13.06.2025 00:00,0.04281
SKYAIUSDT,18/06/2025 08:06:21,down,0.03914,0.03428,0.03671,up,down,1749600000000,11.06.2025 00:00,up,0.03268,0.03147,0.032075,up,up,1750032000000,16.06.2025 00:00,up,0.03914,0.03804,0.03859,down,up,1749427200000,09.06.2025 00:00,0.03692
ANIMEUSDT,18/06/2025 08:06:21,up,0.02314,0.02123,0.022185,up,up,1747440000000,17.05.2025 00:00,down,0.02163,0.02123,0.021429999999999998,up,up,1746921600000,11.05.2025 00:00,down,0.02216,0.02123,0.021695,down,up,1747267200000,15.05.2025 00:00,0.02167
XCNUSDT,18/06/2025 08:06:21,up,0.01354,0.01324,0.013389999999999999,up,down,1750032000000,16.06.2025 00:00,down,0.01352,0.01324,0.01338,down,up,1749859200000,14.06.2025 00:00,down,0.01397,0.01352,0.013745,down,down,1749772800000,13.06.2025 00:00,0.01344
PUNDIXUSDT,18/06/2025 08:06:21,,,,,,,,,,,,,,,,,down,0.2933,0.2904,0.29185,down,down,1750032000000,16.06.2025 00:00,0.2826
SEIUSDT,18/06/2025 08:06:21,down,0.1727,0.169,0.17085,up,down,1744675200000,15.04.2025 00:00,up,0.1708,0.1696,0.17020000000000002,up,down,1745020800000,19.04.2025 00:00,down,0.1799,0.1764,0.17815,down,up,1749859200000,14.06.2025 00:00,0.1717
VINEUSDT,18/06/2025 08:06:21,up,0.03168,0.02957,0.030625,down,down,1745020800000,19.04.2025 00:00,down,0.02968,0.02957,0.029625,down,down,1744848000000,17.04.2025 00:00,down,0.03198,0.03134,0.03166,down,up,1749859200000,14.06.2025 00:00,0.03021
NEIROETHUSDT,18/06/2025 08:06:21,down,0.10161,0.09144,0.096525,down,down,1747180800000,14.05.2025 00:00,up,0.09383,0.09345,0.09364,up,up,1750032000000,16.06.2025 00:00,down,0.10069,0.10034,0.100515,up,up,1731196800000,10.11.2024 00:00,0.09567
ALCHUSDT,18/06/2025 08:06:21,down,0.127,0.12559,0.126295,down,down,1749945600000,15.06.2025 00:00,up,0.13541,0.1091,0.122255,up,up,1744502400000,13.04.2025 00:00,down,0.12941,0.12699,0.12819999999999998,up,down,1749859200000,14.06.2025 00:00,0.12622
RENDERUSDT,18/06/2025 08:06:21,up,3.378,2.96,3.169,down,up,1744156800000,09.04.2025 00:00,down,3.23,3.163,3.1965,down,down,1743811200000,05.04.2025 00:00,down,3.299,3.23,3.2645,down,down,1743724800000,04.04.2025 00:00,3.247
